tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls
7.97129E+17,,,2016-11-11 17:28:48 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Today, we honor those who honored our country with its highest form of service. We owe our veterans our thanks, our respect and our freedom.",,,,
7.96019E+17,,,2016-11-08 15:57:29 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Today, progress is on the ballot. Go vote - then make sure your friends, your family, and everyone you know votes too.",,,,
7.94322E+17,,,2016-11-03 23:34:58 +0000,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","It's pretty simple: Find a plan, get covered, earn some peace of mind. Start today: https://t.co/PJ7xIKP3Vo https://t.co/ZBQdNz8s80",,,,"http://HealthCare.gov,http://twitter.com/POTUS/status/794322003754790913/photo/1"
7.94058E+17,,,2016-11-03 06:03:56 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",It happened: @Cubs win World Series. That's change even this South Sider can believe in. Want to come to the White House before I leave?,,,,
7.90237E+17,,,2016-10-23 17:01:02 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I'll say it: Holy Cow, @Cubs fans. Even this White Sox fan was happy to see Wrigley rocking last night. #FlyTheW",,,,
7.89598E+17,,,2016-10-21 22:44:03 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Check out my newest science advisors! These kids are fearless in using science to tackle our toughest problems. Thanks for the inspiration. https://t.co/qe7h3IfTTZ,,,,http://twitter.com/POTUS/status/789598150541635588/photo/1
7.89266E+17,,,2016-10-21 00:42:54 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @vj44: We lit the @WhiteHouse pink tonight to commemorate Breast Cancer Awareness Month. Make sure to enroll in #ACA starting Nov. 1 htt…,7.89237E+17,595515713,2016-10-20 22:50:32 +0000,http://twitter.com/vj44/status/789237393719255044/photo/1
7.89097E+17,,,2016-10-20 13:31:12 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Outstanding 3 for 3 debate sweep for @HillaryClinton! Nobody has ever been more prepared to be @POTUS.,,,,
7.88099E+17,,,2016-10-17 19:26:31 +0000,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","For the loved ones we've lost and the ones we can still save, thank you Joe for putting us on the path to ending cancer as we know it. https://t.co/O0twPYcRSc",,,,https://twitter.com/vp/status/788097252522721280
7.87662E+17,,,2016-10-16 14:30:59 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","For a century, Planned Parenthood has made it possible for women to determine their own lives. Here's to another #100YearsStrong.",,,,
